title,handle,disjunctive,rule_count,rule_summary,tag_rules
Well Light Fixtures,well-light-fixtures,yes,1,TAG EQUALS Well Light,Well Light
Hardscape Pavers,hardscape-pavers,yes,2,TAG EQUALS Hardscape | TAG EQUALS Paver,Hardscape|Paver
Hanging Lights,hanging-lights,yes,3,TAG EQUALS hanging | TAG EQUALS hanging fixture | TAG EQUALS hanging lights,hanging|hanging fixture|hanging lights
Incandescent Bulbs,incandescent-bulbs,yes,2,TAG EQUALS incandescent | TAG EQUALS incandescent bulb,incandescent|incandescent bulb
Halogen Bulbs,halogen-bulbs,yes,2,TAG EQUALS Halogen | TAG EQUALS Halogen bulbs,Halogen|Halogen bulbs
LED Bulbs,led-bulbs,yes,2,TAG EQUALS LED Bulb | TAG EQUALS LED Bulbs,LED Bulb|LED Bulbs
Fluorescent Bulbs,fluorescent-bulbs,yes,4,TAG EQUALS fluorescent | TAG EQUALS cfl | TAG EQUALS compact fluorescent | TAG EQUALS fluorescent bulb,fluorescent|cfl|compact fluorescent|fluorescent bulb
Lighting Spikes and Fixture Mounting Bases,spikes,yes,4,TAG EQUALS spike | TAG EQUALS spikes | TAG EQUALS ground stake | TAG EQUALS stake,spike|spikes|ground stake|stake
Timers and Automation Controls,timers-and-automation-controls,yes,4,TAG EQUALS timer | TAG EQUALS photocell | TAG EQUALS switch | TAG EQUALS photoelectric,timer|photocell|switch|photoelectric
Power Supplies,transformers-and-power-supplies,yes,5,TAG EQUALS transformer | TAG EQUALS driver | TAG EQUALS step down | TAG EQUALS power supply | TAG EQUALS breaker,transformer|driver|step down|power supply|breaker
Light Bulbs,light-bulbs,yes,3,TAG EQUALS light bulb | TAG EQUALS light bulbs | TAG EQUALS bulb,light bulb|light bulbs|bulb
Transformers,transformers,no,2,TAG EQUALS Transformer | TAG EQUALS halogen transformer,Transformer|halogen transformer
Premium LED Drivers | Constant Current & Dimmable | USA Stock,led-driver,yes,2,TAG EQUALS LED Driver | TAG EQUALS Driver,LED Driver|Driver
Indoor/Outdoor Transformer,indoor-outdoor-transformer,no,4,TAG EQUALS indoor/outdoor transformer | TAG EQUALS large transformer | TAG EQUALS outdoor transformer | TAG EQUALS outdoor,indoor/outdoor transformer|large transformer|outdoor transformer|outdoor
High Power Bulbs,high-power-bulbs,yes,6,TAG EQUALS Mercury Vapor | TAG EQUALS Metal Halide | TAG EQUALS MV | TAG EQUALS High Pressure Sodium | TAG EQUALS HPS | TAG EQUALS MH,Mercury Vapor|Metal Halide|MV|High Pressure Sodium|HPS|MH
Automotive/Machine Bulb,automotive-machine-bulb,yes,8,TAG EQUALS automotive | TAG EQUALS microwave | TAG EQUALS stove | TAG EQUALS tractor | TAG EQUALS headlight | TAG EQUALS turn signal | TAG EQUALS marker light | TAG EQUALS flasher,automotive|microwave|stove|tractor|headlight|turn signal|marker light|flasher
Illuminate Your Space with Ironsmith's Smart Lighting Collection,smart-products,yes,6,TAG EQUALS Smart | TAG EQUALS alexa | TAG EQUALS google home | TAG EQUALS smart home | TAG EQUALS app | TAG EQUALS wireless,Smart|alexa|google home|smart home|app|wireless
Light Fixtures,fixtures,yes,2,TAG EQUALS fixture | TAG EQUALS fixtures,fixture|fixtures
Deck and Patio Lights,deck-and-patio-lights,yes,2,TAG EQUALS Deck Light | TAG EQUALS Patio,Deck Light|Patio
Ballast and Ignitors,ballast-and-ignitors,yes,3,TAG EQUALS ballast | TAG EQUALS ignitor | TAG EQUALS starter,ballast|ignitor|starter
Dimmers,dimmers,yes,3,TAG EQUALS dimmer | TAG EQUALS dimmers | TAG EQUALS touch dimmer,dimmer|dimmers|touch dimmer
Honeycomb Louvers,honeycomb-louvers,yes,2,TAG EQUALS honeycomb | TAG EQUALS honeycomb louver,honeycomb|honeycomb louver
Bundle Builder Products,bundle-builder-products,no,1,TYPE EQUALS Custom Bundle,
